,exclusivity_code,exclusivity_code_desc,edition
7806,D-110,TREATMENT OF SCHIZOPHRENIA IN ADOLESCENTS AGED 13-17,2010
7807,D-111,"PROVIDES FOR ONCE DAILY USE OF CIALIS, 2.5 MG AND 5 MG, FOR THE TREAMTENT OF ERECTILE DYSFUNCTION",2010
7808,D-112,PROVIDES FOR PEDIATRIC PUMP USE,2010
7809,D-113,ONCE DAILY DOSING REGIMEN FOR PATIENTS WHO BECOME CONSTIPATED ON TWICE DAILY REGIMEN,2010
7810,D-114,NEW DOSING RECOMMENDATIONS FOR USE OF SIROLIMUS IN COMBINATION WITH CYCLOSPORINE FOR THE PROPHYLAXIS OF REJECTION IN HIGH-RISK RENAL TRANSPLANT RECIPIENTS,2010
7811,D-115,"STARTING DOSE OF 15MG/DAY FOR MONOTHERAPY IN ACUTE TREATMENT OF BIPOLAR DISORDER, MANIC OR MIXED",2010
7812,D-116,ALTERNATIVE DOSING REGIMEN ATAZANAVIR SULATE CO-ADMINISTERED WITH RITONAVIR FOR THE TREATMENT OF HIV-1 INFECTION IN TREATMENT NAIVE PATIENTS,2010
7813,D-117,50 MG TABLET FOR INITIATION OF DOSE TITRATION FOR BIPOLAR DISORDER,2010
7814,D-118,"TWO 400MG TABLETS ONCE DAILY, CO-ADMINISTERED WITH 100MG RITONAVIR",2010
7815,D-119,DOSING RECOMMENDATIONS FOR HIV INFECTED PEDIATRIC PATIENTS 6 TO LESS THAN 18 YEARS OF AGE,2010
7816,D-120,DOSING REGIMEN ADJUSTMENTS,2010
7817,D-121,CHANGE TO REMOVE 20 MG MAXIMUM DOSAGE RESTRICTION,2010
7818,D-122,USE OF VAGIFEM 10 MCG FOR THE TREATMENT OF ATROPHIC VAGINITIS DUE TO MENOPAUSE,2010
7819,I-1,DYSMENORRHEA,2010
7820,I-2,CHOLANGIOPANCREATOGRAPHY,2010
7821,I-3,INTRAVENOUS DIGITAL SUBTRACTION ANGIOGRAPHY,2010
7822,I-4,PERIPHERAL VENOGRAPHY (PHLEBOGRAPHY),2010
7823,I-5,HYSTEROSALPINGOGRAPHY,2010
7824,I-6,TREATMENT OF JUVENILE ARTHRITIS,2010
7825,I-7,BIOPSY PROVEN MINIMAL CHANGE NEPHROTIC SYNDROME IN CHILDREN,2010
7826,I-8,ADULT INTRAVENOUS CONTRAST-ENHANCED COMPUTED TOMOGRAPHY OF THE HEAD AND BODY,2010
7827,I-9,PREVENTION OF POSTOPERATIVE NAUSEA AND VOMITING,2010
7828,I-10,PREVENTION OF POSTOPERATIVE DEEP VENOUS THROMBOSIS AND PULMONARY EMBOLISM IN TOTAL HIP REPLACEMENT SURGERY,2010
7829,I-11,RELIEF OF MILD TO MODERATE PAIN,2010
7830,I-12,TREATMENT OF CUTANEOUS CANDIDIASIS,2010
7831,I-13,URINARY TRACT INFECTION (UTI) PREVENTION FOR PERIODS UP TO FIVE MONTHS IN WOMEN WITH A HISTORY OF RECURRENT UTI,2010
7832,I-14,SEBORRHEIC DERMATITIS,2010
7833,I-15,PHOTOPHERESIS IN THE PALLIATIVE TREATMENT OF SKIN MANIFESTATIONS OF CUTANEOUS T-CELL LYMPHOMA IN PERSONS NOT RESPONSIVE TO OTHER TREATMENT,2010
7834,I-16,STIMULATE THE DEVELOPMENT OF MULTIPLE FOLLICLES/OOCYTES IN OVULATORY PATIENTS PARTICIPATING IN AN IN VITRO FERTILIZATION PROGRAM,2010
7835,I-17,MANAGEMENT OF CONGESTIVE HEART FAILURE,2010
7836,I-18,ENDOSCOPIC RETROGRADE PANCREATOGRAPHY,2010
7837,I-19,HERNIOGRAPHY,2010
7838,I-20,KNEE ARTHROGRAPHY,2010
7839,I-21,HIGH DOSE METHOTREXATE WITH LEUCOVORIN RESCUE IN COMBINATION WITH OTHER CHEMOTHERAPEUTIC AGENTS TO DELAY RECURRENCE IN PATIENTS WITH NONMETASTATIC OSTEOSARCOMA WHO HAVE UNDERGONE SURGICAL RESECTION OR AMPUTATION FOR THE PRIMARY TUMOR,2010
7840,I-22,RESCUE AFTER HIGH-DOSE METHOTREXATE THERAPY IN OSTEOSARCOMA,2010
7841,I-23,SHORT-TERM TREATMENT OF ACTIVE BENIGN GASTRIC ULCER,2010
7842,I-24,TREATMENT OF RHEUMATOID ARTHRITIS,2010
7843,I-25,"ADULT INTRA-ARTERIAL DIGITAL SUBTRACTION ANGIOGRAPHY OF THE HEAD, NECK, ABDOMINAL, RENAL AND PERIPHERAL VESSELS",2010
7844,I-26,TREATMENT OF LIVER FLUKES,2010
7845,I-27,ADJUNCTIVE THERAPY TO DIET TO REDUCE THE RISK OF CORONARY ARTERY DISEASE,2010
7846,I-28,SELECTIVE ADULT VISCERAL ARTERIOGRAPHY,2010
7847,I-29,METASTATIC BREAST CANCER IN PREMENOPAUSAL WOMEN AS AN ALTERNATIVE TO OOPHORECTOMY OR OVARIAN IRRADIATION,2010
7848,I-30,TREATMENT OF TINEA PEDIS,2010
7849,I-31,CONTRAST ENHANCEMENT AGENT TO FACILITATE VISUALIZATION OF LESIONS IN THE SPINE AND ASSOCIATED TISSUES,2010
7850,I-32,PEDIATRIC MYELOGRAPHY,2010
7851,I-33,ORAL USE OF DILUTED OMNIPAQUE INJECTION IN ADULTS FOR CONTRAST ENHANCED COMPUTED TOMOGRAPHY OF THE ABDOMEN,2010
7852,I-34,ORAL USE IN ADULTS FOR PASS-THROUGH EXAMINATION OF THE GASTROINTESTINAL TRACT,2010
7853,I-35,PEDIATRIC CONTRAST ENHANCEMENT OF COMPUTED TOMOGRAPHIC HEAD IMAGING,2010
7854,I-36,ARTHROGRAPHY OF THE SHOULDER JOINTS IN ADULTS,2010
7855,I-37,RADIOGRAPHY OF THE TEMPOROMANDIBULAR JOINT IN ADULTS,2010
7856,I-38,CONTRAST ENHANCEMENT AGENT TO FACILITATE VISUALIZATION OF LESIONS OF THE CENTRAL NERVOUS SYSTEM IN CHILDREN (2 YEARS OF AGE AND OLDER),2010
7857,I-39,TREATMENT OF ACUTE MYOCARDIAL INFARCTION,2010
7858,I-40,PRIMARY NOCTURNAL ENURESIS,2010
7859,I-41,MIGRAINE HEADACHE PROPHYLAXIS,2010
7860,I-42,HERPES ZOSTER,2010
7861,I-43,HERPES SIMPLEX ENCEPHALITIS,2010
7862,I-44,MAINTENANCE THERAPY IN HEALED DUODENAL ULCER PATIENTS AT DOSE OF 1 GRAM TWICE DAILY,2010
7863,I-45,ACUTE TREATMENT OF VARICELLA ZOSTER VIRUS,2010
7864,I-46,USE IN PEDIATRIC COMPUTED TOMOGRAPHIC HEAD AND BODY IMAGING,2010
7865,I-47,TREATMENT OF PEDIATRIC PATIENTS WITH SYMPTOMATIC HUMAN IMMUNODEFICIENCY VIRUS (HIV) DISEASE,2010
7866,I-48,PEDIATRIC ANGIOCARDIOGRAPHY,2010
7867,I-49,TREATMENT OF TRAVELERS' DIARRHEA DUE TO SUSCEPTIBLE STRAINS OF ENTEROTOXIGENIC ESCHERICHIA COLI,2010
7868,I-50,FOR USE IN WOMEN WITH AXILLARY NODE-NEGATIVE BREAST CANCER,2010
7869,I-51,TREATMENT OF PRIMARY DYSMENORRHEA AND FOR THE TREATMENT OF IDIOPATHIC HEAVY MENSTRUAL BLOOD LOSS,2010
7870,I-52,PEDIATRIC EXCRETORY UROGRAPHY,2010
7871,I-53,"TREATMENT OF PANIC DISORDER, WITH OR WITHOUT AGORAPHOBIA",2010
7872,I-54,RENAL CONCENTRATION CAPACITY TEST,2010
7873,I-55,HYPERTENSION,2010
7874,I-56,EROSIVE GASTROESOPHAGEAL REFLUX DISEASE,2010
7875,I-57,SHORT-TERM TREATMENT OF ACTIVE DUODENAL ULCER,2010
7876,I-58,INITIAL TREATMENT OF ADVANCED OVARIAN CARCINOMA IN COMBINATION WITH OTHER APPROVED CHEMOTHERAPEUTIC AGENTS,2010
7877,I-59,"ENDOSCOPICALLY DIAGNOSED ESOPHAGITIS, INCLUDING EROSIVE AND ULCERATIVE ESOPHAGITIS, AND ASSOCIATED HEARTBURN DUE TO GASTROESOPHAGEAL REFLUX DISEASE",2010
7878,I-60,SINGLE APPLICATION TREATMENT OF HEAD LICE IN CHILDREN TWO MONTHS TO TWO YEARS IN AGE,2010
7879,I-61,FEMALE ANDROGENETIC ALOPECIA,2010
7880,I-62,PREVENTION AND TREATMENT OF POSTMENOPAUSAL OSTEOPOROSIS,2010
7881,I-63,ONCE DAILY TREATMENT AS INITIAL THERAPY IN THE TREATMENT OF HYPERTENSION,2010
7882,I-64,PREVENTION OF SUPRAVENTRICULAR TACHYCARDIAS,2010
7883,I-65,PREVENTION OF UPPER GASTROINTESTINAL BLEEDING IN CRITICALLY ILL PATIENTS,2010
7884,I-66,UNCOMPLICATED GONORRHEA,2010
7885,I-67,TREATMENT OF ACUTE ASTHMATIC ATTACKS IN CHILDREN SIX YEARS OF AGE AND OLDER,2010
7886,I-68,CENTRAL PRECOCIOUS PUBERTY,2010
7887,I-69,"SHORT TERM TREATMENT OF PATIENTS WITH SYMPTOMS OF GASTROESOPHAGEAL REFLUX DISEASE (GERD), AND FOR THE SHORT TERM TREATMENT OF ESOPHAGITIS DUE TO GERD INCLUDING ULCERATIVE DISEASE DIAGNOSED BY ENDOSCOPY",2010
7888,I-70,USE IN COMBINATION WITH 5-FLUOROURACIL TO PROLONG SURVIVAL IN THE PALLIATIVE TREATMENT OF PATIENTS WITH ADVANCED COLORECTAL CANCER,2010
7889,I-71,VARICELLA INFECTIONS (CHICKENPOX),2010
7890,I-72,PREVENTION OF CMV DISEASE IN TRANSPLANT PATIENTS AT RISK FOR CMV DISEASE,2010
7891,I-73,INITIATE AND MAINTAIN MONITORED ANESTHESIA CARE (MAC) SEDATION DURING DIAGNOSTIC PROCEDURES,2010
7892,I-74,INTRAVENOUS DIGITAL SUBTRACTION ANGIOGRAPHY,2010
7893,I-75,TREATMENT OF ENDOSCOPICALLY DIAGNOSED EROSIVE ESOPHAGITIS,2010
7894,I-76,PREVENTION OF OSTEOPOROSIS,2010
7895,I-77,"DERMAL INFECTIONS-TINEA PEDIS, TINEA CORPORIS, TINEA CRURIS DUE TO EPIDERMOPHYTON FLOCCOSUM",2010
7896,I-78,CONTRAST ENHANCED COMPUTED TOMOGRAPHIC IMAGING OF THE HEAD AND BODY AND INTRAVENOUS EXCRETORY UROGRAPHY,2010
7897,I-79,MANAGEMENT OF CHRONIC STABLE ANGINA AND ANGINA DUE TO CORONARY ARTERY SPASM,2010
7898,I-80,DIAGNOSIS AND LOCALIZATION OF ISCHEMIA AND CORONARY HEART DISEASE,2010
7899,I-81,PROPHYLAXIS IN DESIGNATED IMMUNOCOMPROMISED CONDITIONS TO REDUCE THE INCIDENCE OF OROPHARYNGEAL CANDIDIASIS,2010
7900,I-82,TREATMENT OF TRAVELERS' DIARRHEA,2010
7901,I-83,"ANGIOCARDIOGRAPHY, CONTRAST ENHANCED COMPUTED TOMOGRAPHIC IMAGING OF THE HEAD AND BODY, AND INTRAVENOUS EXCRETORY UROGRAPHY IN CHILDREN",2010
7902,I-84,INTRAOPERATIVE AND POSTOPERATIVE TACHYCARDIA AND/OR HYPERTENSION,2010
7903,I-85,TREATMENT OF ANOREXIA ASSOCIATED WITH WEIGHT LOSS IN PATIENTS WITH AIDS,2010
7904,I-86,TREATMENT OF SECONDARY CARNITINE DEFICIENCY,2010
7905,I-87,RENAL IMAGING AGENT FOR USE IN CHILDREN,2010
7906,I-88,MANAGEMENT OF ENDOMETRIOSIS,2010
7907,I-89,EPIDURAL USE IN LABOR AND DELIVERY AS AN ANALGESIC ADJUNCT TO BUPIVACAINE,2010
7908,I-90,INTENSIVE CARE UNIT SEDATION,2010
7909,I-91,MONOTHERAPY USE FOR HYPERTENSION,2010
7910,I-92,ADJUNCTIVE THERAPY IN THE MANAGEMENT OF HEART FAILURE,2010
7911,I-93,PREVENTION OF EXERCISE-INDUCED BRONCHOSPASM IN CHILDREN AGES 4-11 YEARS,2010
7912,I-94,USE WITH MRI IN ADULTS TO PROVIDE CONTRAST ENHANCEMENT AND FACILITATE VISUALIZATION OF LESIONS IN THE BODY [EXCLUDING THE HEART],2010
7913,I-95,TREATMENT OF LEFT VENTRICULAR DYSFUNCTION FOLLOWING MYOCARDIAL INFARCTION,2010
7914,I-96,TREATMENT OF SYMPTOMATIC BENIGN PROSTATIC HYPERPLASIA,2010
7915,I-97,ORAL OR RECTAL USE IN CHILDREN FOR THE EXAMINATION OF THE GASTROINTESTINAL TRACT,2010
7916,I-98,TREATMENT OF CHILDREN WHO HAVE GROWTH FAILURE ASSOCIATED WITH CHRONIC RENAL INSUFFICIENCY,2010
7917,I-99,PEDIATRIC ANESTHESIA IN CHILDREN 3 YEARS AND OLDER,2010
7918,I-100,TO DECREASE THE INCIDENCE OF CANDIDIASIS IN PATIENTS UNDERGOING BONE MARROW TRANSPLANTATION WHO RECEIVE CYTOTOXIC CHEMOTHERAPY AND/OR RADIATION THERAPY,2010
7919,I-101,TREATMENT OF DIABETIC NEPHROPATHY IN PATIENTS WITH TYPE I INSULIN-DEPENDENT DIABETES MELLITUS AND RETINOPATHY,2010
7920,I-102,TREATMENT OF OBSESSIVE-COMPULSIVE DISORDER,2010
7921,I-103,PROPHYLAXIS AGAINST PNEUMOCYSTIS CARINII PNEUMONIA IN INDIVIDUALS WHO ARE IMMUNOCOMPROMISED AND CONSIDERED TO BE AT RISK OF DEVELOPING PNEUMOCYSTIS CARINII PNEUMONIA,2010
7922,I-104,TREATMENT OF PULMONARY AND EXTRAPULMONARY ASPERGILLOSIS IN PATENTS WHO ARE INTOLERANT OF OR WHO ARE REFRACTORY TO AMPHOTERICIN B THERAPY,2010
7923,I-105,TREATMENT OF METASTATIC CARCINOMA OF THE BREAST AFTER FAILURE OF FIRST-LINE OR SUBSEQUENT CHEMOTHERAPY,2010
7924,I-106,TREATMENT OF ACROMEGALY,2010
7925,I-107,VAGINAL CANDIDIASIS,2010
7926,I-108,EXPANDED USE-FOR ICU PATIENTS UNDERGOING LONG-TERM INFUSION DURING MECHANICAL VENTILATION,2010
7927,I-109,TYPHOID FEVER,2010
7928,I-110,PREVENTION OF NAUSEA AND VOMITING ASSOCIATED WITH RADIOTHERAPY,2010
7929,I-111,TREATMENT OF PAGET'S DISEASE OF BONE,2010
7930,I-112,MANAGEMENT OF MODERATE TO SEVERE PAIN,2010
7931,I-113,TREATMENT OF PROSTATITIS,2010
7932,I-114,"USE IN CHILDREN TO VISUALIZE LESIONS WITH ABNORMAL VASCULARITY IN THE BRAIN (INTRACRANIAL LESIONS), SPINE, AND ASSOCIATED TISSUE",2010
7933,I-115,USE IN MRI IN ADULTS TO VISUALIZE LESIONS IN THE HEAD AND NECK,2010
7934,I-116,MAINTENANCE OF HEALING OF EROSIVE ESOPHAGITIS,2010
7935,I-117,TO SLOW THE PROGRESSION FO CORONANY ATHEROSCLEROSIS IN PATIENTS WITH CORONARY HEART DISEASE,2010
7936,I-118,"PREVENTION OF DEEP VEIN THROMBOSIS, WHICH MAY LEAD TO PULMONARY EMBOLISM FOLLOWING KNEE REPLACEMENT SURGERY",2010
7937,I-119,TREATMENT OF ANEMIA CAUSED BY UTERINE LEIOMYOMATA IN WOMEN WHO FAIL IRON THERAPY,2010
7938,I-120,MAINTENANCE THERAPY FOR GASTRIC ULCER PATIENTS AT REDUCED DOSAGE AFTER HEALING ACUTE ULCERS,2010
7939,I-121,EXPANDED PATIENT POPULATION --USE IN ICU PATIENTS,2010
7940,I-122,PSORIASIS OF THE SCALP,2010
7941,I-123,RELIEF OF MILD TO MODERATE PAIN IN PATIENTS AGED 6 MONTHS AND OLDER,2010
7942,I-124,LEUCOCYTE LABELED SCINTIGRAPHY AS AN ADJUNCT IN THE LOCALIZATION OF INTRA-ABDOMINAL INFECTION AND INFLAMMATORY BOWEL DISEASE,2010
7943,I-125,EXPANSION OF CONSCIOUS SEDATION INDICATION TO INCLUDE SHORT THERAPEUTIC PROCEDURES,2010
7944,I-126,ADJUNCT TO THALLIUM-201 MYOCARDIAL PERFUSION IN PATIENTS UNABLE TO EXERCISE ADEQUATELY,2010
7945,I-127,TREATMENT OF ACYCLOVIR-RESISTANT HERPES IN IMMUNOCOMPROMISED PATIENTS,2010
7946,I-128,IN PT W/ CH DISEASE AND HYPERCHOLESTEROLEMIA: REDUCE RISK TOTAL MORTALITY BY REDUCING CORONARY DEATH; REDUCE RISK NON-FATAL MI; REDUCE RISK UNDERGOING MYOCARDIAL REVASCULARIZATION PROCEDURES; REDUCTION ELEVATED TOTAL AND LDL CHOL LEVELS...,2010
7947,I-129,TREATMENT OF ALCOHOL DEPENDENCE,2010
7948,I-130,MAINTENANCE OF HEALING OF EROSIVE ESOPHAGITIS,2010
7949,I-131,PERIPHERAL ARTERIOGRAPHY,2010
7950,I-132,TREATMENT OF MANIC PHASE OF BIPOLAR DISORDER,2010
7951,I-133,MANAGEMENT OF CHRONIC STABLE ANGINA,2010
7952,I-134,HEART FAILURE POST MYOCARDIAL INFARCTION,2010
7953,I-135,BONE METASTASES ASSOCIATED WITH MULTIPLE MYELOMA,2010
7954,I-136,IDIOPATHIC CHRONIC URTICARIA,2010
7955,I-137,"PREVENTION OF METAL-INDUCED HEART BURN, ACID INDIGESTION, AND SOUR STOMACH WHEN TAKEN 30 MINUTES PRIOR TO CONSUMING FOOD OR BEVERAGES",2010
7956,I-138,TREATMENT OF ACUTE RECURRENT GENITAL HERPES,2010
7957,I-139,PALLIATIVE TREATMENT OF ADVANCED BREAST CANCER IN PRE-AND PERIMENOPAUSAL WOMEN,2010
7958,I-140,PREVENTION OF CYTOMEGALOVIRUS (CMV) DISEASE IN INDIVIDUALS WITH HIV INFECTION AT RISK FOR DEVELOPING CMV DISEASE,2010
7959,I-141,TREATMENT OF HEMODYNAMICALLY STABLE PATIENTS WITHIN 24 HOURS OF ACUTE MYOCARDIAL INFARCTION TO IMPROVE SURVIVAL,2010
7960,I-142,LOCALIZE MYOCARDIAL ISCHEMIA(REVERSIBLE DEFECT) AND INFARCTION (NON-REVERSIBLE DEFECTS) IN EVALUATING MYOCARDIAL FUNCTION,2010
7961,I-143,EPISODIC TREATMENT OF RECURRENT GENITAL HERPES IN IMMUNOCOMPETENT ADULTS,2010
7962,I-144,ENHANCEMENT OF MRI OF THE ADULT BODY INTERNAL ORGANS,2010
7963,I-145,0.1MMOL/KG AS A SINGLE INTRAVEOUS BOLUS FOR MRI OF THE CNS IN CHILDREN,2010
7964,I-146,CONTRAST ENHANCEMENT AND FACILITATION OF VISUALIZATION OF EXTRACRANIAL HEAD AND NECK LESIONS,2010
7965,I-147,PREVENTION OF GALLSTONE FORMATION IN OBESE PATIENTS EXPERIENCING RAPID WEIGHT LOSS,2010
7966,I-148,TREATMENT OF ACUTE PNEUMOCYSTIC CARINI PNEUMONIA (PCP) IN HIV-INFECTED PATIENTS WHOSE ALVEOLAR-ARTERIAL OXYGEN DIFFERENCE (AADO2) IS LESS THAN OR EQUAL TO 55 TORR,2010
7967,I-149,TREATMENT OF PATIENTS WITH NON-SMALL CELL LUNG CANCER,2010
7968,I-150,TREATMENT OF OBSESSIVE COMPULSIVE DISORDER AND PANIC DISORDER,2010
7969,I-151,PREVENTION OF AND PREVENTION OF FURTHER POSTOPERATIVE NAUSEA AND VOMITING IN PEDIATRIC PATIENTS RECEIVING GENERAL ANESTHESIA,2010
7970,I-152,SLOWING THE PROGRESSION OF CORONARY ATHEROSCLEROSIS AND REDUCING THE RISK OF ACUTE CORONARY EVENTS,2010
7971,I-153,MANAGEMENT OF SEVERE SPASTICITY [ENCOMPASES SPINAL AND CEREBRAL ORIGIN],2010
7972,I-154,PATIENT POPULATION ALTERED TO INCLUDE PEDIATRIC USE,2010
7973,I-155,TREATMENT OF ONCHOMYCOSIS DUE TO DERMATOPHYTES (TINEA UNGUIUM) OF THE TOENAIL WITH OR WITHOUT FINGERNAIL INVOLVEMENT,2010
7974,I-156,ADDITIONAL DATA REGARDING THE SAFE USE OF NORVASC IN PATIENTS WITH HEART FAILURE,2010
7975,I-157,TREATMENT OF ACUTE UNCOMPLICATED CYSTITIS IN FEMALES,2010
7976,I-158,TREATMENT OF OSTEOLYTIC BONE METASTASES OF BREAST CANCER,2010
7977,I-159,"FOR HYPERCHOLESTEROLEMIC PATIENTS WITHOUT CLINICALLY EVIDENT HEART DISEASE REDUCE THE RISK OF MYOCARDIAL INFARCTION, REVASCULARIZATION, AND DEATH DUE TO CARDIOVASCULAR CAUSES WITH NO INCREASE IN DEATH FROM NON-CARDIOVASCULAR CAUSES",2010
7978,I-160,TREATMENT OF BACTERIAL CORNEAL ULCERS,2010
7979,I-161,TREATMENT OF ADULT-ONSET OR CHILDHOOD-ONSET ADULT GROWTH HORMONE DEFICIENCY,2010
7980,I-162,FOR USE IN PATIENTS 6-11 YEARS OF AGE,2010
7981,I-163,TREATMENT OF PHOTOPHOBIA,2010
7982,I-164,CHRONIC BACTERIAL PROSTATITIS,2010
7983,I-165,"MANAGEMENT OF ADULTS WITH ACTIVE, CLASSIC AND DEFINITIVE RHEUMATOID ARTHRITIS WHO HAVE HAD INSUFFICIENT THERAPEUTIC RESPONSE TO OR ARE INTOLERANT OF AN ADEQUATE TRIAL OF FULL DOSES OF ONE OR MORE NON-STEROIDAL ANTI-INFLAMMATORY DRUGS",2010
7984,I-166,TREATMENT OF BULIMIA,2010
7985,I-167,COMPLICATED INTRA-ABDOMINAL INFECTIONS (USED IN COMBINATION WITH METRONIDAZOLE) CAUSED BY MIXED AEROBIC/ANAEROBIC PATHOGENS,2010
7986,I-168,MANAGEMENT OF LOCALLY CONFINED STAGE B2-C METASTATIC CARCINOMA OF THE PROSTATE (IN COMBINATION WITH LHRH AGONISTS),2010
7987,I-169,USE IN COMBINATION WITH CORTICOSTEROIDS AS INITIAL CHEMOTHERAPY FOR THE TREATMENT OF PATIENTS WITH PAIN RELATED TO ADVANCED HORMONE-REFRACTORY PROSTATE CANCER,2010
7988,I-170,PROPHYLACTIC USE DURING HEAD LICE EPIDEMICS,2010
7989,I-171,RELIEF OF SYMPTOMS OF THE COMMON COLD,2010
7990,I-172,TREATMENT OF INITIAL EPISODE OF GENITAL HERPES,2010
7991,I-173,PREOPERATIVELY FOR THE PREVENTION OF INFECTION IN TRANSRECTAL PROSTATE BIOPSY,2010
7992,I-174,PELVIC INFLAMMATORY DISEASE,2010
7993,I-175,TREATMENT OF TINEA CORPORIS AND TINEA CRURIS,2010
7994,I-176,TREATMENT OF POSTOPERATIVE INFLAMMATION IN PATIENTS WHO HAVE UNDERGONE CATARACT EXTRACTION,2010
7995,I-177,"TX OF MODERATE ACNE VULGARIS IN FEMALES,GREATER OR EQUAL TO 15YRS OF AGE,WHO HAVE NO KNOWN CONTRAINDICATIONS TO ORAL CONTRACEPTIVE THERAPY,DESIRE CONTRACEPTION,HAVE ACHIEVED MENARCHE AND ARE UNRESPONSIVE TO TOPICAL ANTI-ACNE MEDICATIONS",2010
7996,I-178,TREATMENT OF ONCHOMYCOSIS OF THE FINGERNAIL WITHOUT CONCOMITANT ONCHOMYCOSIS OF THE TOENAIL WITH A PULSE DOSING REGIMEN,2010
7997,I-179,NOSOCOMIAL PNEUMONIA-MILD TO MODERATE AND SEVERE CAUSED BY HAEMOPHILUS INFLUENZAE OR KLEBSIELLA PNEUMONIAE,2010
7998,I-180,TREATMENT OF PLANTAR TINEA PEDIS (MOCCASIN TYPE),2010
7999,I-181,TREATMENT OF PATIENTS WITH COMPLEX PARTIAL SEIZURES WITH AND WITHOUT SECONDARY GENERALIZATION,2010
8000,I-182,TREATMENT OF GROWTH FAILURE ASSOCIATED WITH TURNER SYNDROME,2010
8001,I-183,MAINTENANCE THERAPY IN THE MANAGEMENT OF MILD TO MODERATE ASTHMA IN PEDIATRIC PATIENTS AGES 6-11,2010
8002,I-184,TREATMENT OF PANIC DISORDER AT A RECOMMENDED DOSE RANGE OF 1 TO 2MG/DAY (MAXIMUM OF 4MG),2010
8003,I-185,PREVENTION OF OSTEOPOROSIS IN POSTMENOPAUSAL WOMEN,2010
8004,I-186,TREATMENT OF TINEA (PITYRIASIS) VERSICOLOR CAUSED BY OR PRESUMED TO BE CAUSED BY PITYROSPORUM ORBICULARE (ALSO KNOWN AS MALASSEZIA FURFUR OR M. ORBICULARE),2010
8005,I-187,PREVENTION OF FRACTURES IN THE TREATMENT OF POSTMENOPAUSAL OSTEOPOROSIS,2010
8006,I-188,TREATMENT OF ACUTE SINUSITIS AND ACUTE EXACERBATION OF CHRONIC SINUSITIS,2010
8007,I-189,TREATMENT OF ACUTE OTITIS MEDIA IN PEDIATRIC PATIENTS,2010
8008,I-190,PLANAR IMAGING AS A SECOND LINE DIAGNOSTIC DRUG AFTER MAMMOGRAPHY TO ASSIST IN THE EVALUATION OF BREAST LESIONS IN PATIENTS WITH AN ABNORMAL MAMMOGRAM OR A PALPABLE BREAST MASS,2010
8009,I-191,ENDOMETRIAL THINNING AGENT PRIOR TO ENDOMETRIAL ABLATION FOR DYSFUNCTIONAL UTERINE BLEEDING,2010
8010,I-192,"THE PREVENTION OF DEEP VEIN THROMBOSIS, WHICH MAY LEAD TO PULMONARY EMBOLISM, IN PATIENTS UNDERGOING ABDOMINAL SURGERY WHO ARE AT RISK FOR THROMBOEMBOLIC COMPLICATIONS AND A NEW DOSAGE REGIMEN, 40MG ONCE DAILY, FOR THIS INDICATION",2010
8011,I-193,TREATMENT OF PANIC DISORDER IN A RECOMMENDED DOSE RANGE OF 50 TO 200MG/DAY,2010
8012,I-194,CONGESTIVE HEART FAILURE,2010
8013,I-195,FOR USE OF LANSOPRAZOLE IN COMBINATION WITH CLARITHROMYCIN AND AMOXICILLIN FOR THE ERADICATION OF HELICOBACTER PYLORI IN PATIENTS WITH ACTIVE DUODENAL ULCER DISEASE OR A ONE-YEAR HISTORY OF DUODENAL ULCER,2010
8014,I-196,ACUTE TREATMENT OF ACTIVE BENIGN GASTRIC ULCER,2010
8015,I-197,MAINTENANCE OF HEALING OF DUODENAL ULCER,2010
8016,I-198,FOR THE USE OF LANSOPRAZOLE IN COMBINATION WITH AMOXICILLIN FOR THE ERADICATION OF HELICOBACTER PYLORI IN PATIENTS WITH ACTIVE DUODENAL ULCER DISEASE OR A ONE-YEAR HISTORY OF A DUODENAL ULCER,2010
8017,I-199,MONOTHERAPY AND COMBINATION THERAPY WITH SULFONYL UREAS IN THE TREATMENT OF TYPE II DIABETES,2010
8018,I-200,TREATMENT OF TINEA (PITYRIASIS) VERSICOLOR,2010
8019,I-201,EMPIRICAL THERAPY FOR FEBRILE NEUTROPENIC PATIENTS,2010
8020,I-202,SECOND-LINE TREAMENT OF AIDS-RELATED KAPOSI'S SARCOMA,2010
8021,I-203,MAINTENANCE OF REMISSION OF ULCERATIVE COLITIS,2010
8022,I-204,USE IN PEDIATRIC PATIENTS BETWEEN THE AGES OF 6 AND 11 FOR THE TREATMENT OF THE NASAL SYMPTOMS OF SEASONAL AND PERENNIAL ALLERGIC RHINITIS,2010
8023,I-205,INITIAL ANTICONVULSANT TREATMENT OF STATUS EPILEPTICUS,2010
8024,I-206,TREATMENT OF EDEMA ASSOCIATED WITH CHRONIC RENAL FAILURE,2010
8025,I-207,FOR THE SUPPRESSION OF RECURRENT EPISODES OF GENITAL HERPES IN IMMUNOCOMPETENT ADULTS,2010
8026,I-208,TREATMENT OF OBSESSIVE COMPULSIVE DISORDER IN THE PEDIATRIC POPULATION,2010
8027,I-209,PAROXYSMAL SUPRAVENTRICULAR TACHYCARDIA (PSVT),2010
