,use_code,use_code_desc,edition
8614,U-305,METHODS FOR USING THE DRUG PRODUCT,2011
8615,U-306,TREATMENT OF POST-MENOPAUSAL UROGENITAL SYMPTOMS ASSOCIATED WITH ESTROGEN DEFICIENCY,2011
8616,U-307,"CLAIMS AN OLANZAPINE POLYMORPH USEFUL FOR TREATING ANY NUMBER OF LISTED CONDITIONS, INCLUDING SPECIFIC PSYCHOSES,EMPLOYING OLANZAPINE AS PER THE INDICATION OF THIS NDA",2011
8617,U-308,"CLAIMS A SOLID ORAL FORMULATION INCLUDING TABLETS AND GRANULES OF OLANZAPINE USEFUL FOR TREATING ANY NUMBER OF LISTED CONDITIONS, INCLUDING SPECIFIC PSYCHOLES, EMPLOYING OLANZAPINE AS PER THE INDICATIONS OF THIS NDA",2011
8618,U-309,TREATING SJOEGREN SYNDROME,2011
8619,U-310,TREATMENT OF XEROSTOMIA,2011
8620,U-311,HORMONE REPLACEMENT,2011
8621,U-312,"PANIC DISORDER, OBSESSIVE-COMPULSIVE DISORDER, POSTTRAUMATIC STRESS DISORDER",2011
8622,U-313,TREATMENT OF CONGESTIVE HEART FAILURE,2011
8623,U-314,METHOD FOR TREATING HYPERPARATHYROIDISM WHICH COMPRISES SUPPRESSING PARATHYROID ACTIVITY,2011
8624,U-315,METHOD FOR ADMINISTERING DRUG TO GASTROINTESTINAL TRACT,2011
8625,U-316,METHOD OF TREATING A SUBJECT SUFFERING FROM PROSTATE CANCER,2011
8626,U-317,METHOD OF USING TROGLITAZONE TO TREAT PATIENTS HAVING INSULIN RESISTANCE,2011
8627,U-318,"TREATMENT OF PATIENTS WITH AN OVERACTIVE BLADDER WITH SYMPTOMS OF URINARY FREQUENCY, URGENCY, OR URGE INCONTINENCE",2011
8628,U-319,TREATMENT OF MICROBIAL INFECTIONS,2011
8629,U-320,INHIBITING OR ELIMINATING ACUTE MYELOID LEUKEMIA,2011
8630,U-321,REDUCTION OF ELEVATED IPTH LEVELS IN THE MGT OF SECONDARY HYPERPARATHYROIDISM IN PATIENTS UNDERGONG CHRONIC RENAL DIALYSIS,2011
8631,U-322,TREATMENT OF ALZHEIMER'S DEMENTIA,2011
8632,U-323,USE AS A BILE ACID SEQUESTRANT,2011
8633,U-324,"METHOD OF TREATING AN ANIMAL, INCLUDING A HUMAN, SUFFERING FROM OR SUSCEPTIBLE TO PSYCHOSIS OR ACUTE MANIA EMPLOYING OLANZAPINE",2011
8634,U-325,"METHOD OF TREATING A PATIENT SUFFERING FROM ANY OF A NUMBER OF LISTED CONDITIONS, INCLUDING ""BIPOLAR DISORDER NOS"" EMPLOYING OLANZAPINE",2011
8635,U-326,METHOD OF TREATING SCHIZOPHRENIA AND BIPOLAR DISORDER,2011
8636,U-327,METHOD OF TREATING A PATIENT SUFFERING FROM ANY OF A NUMBER OF LISTED PSYCHOTIC CONDITONS EMPLOYING OLANZAPINE,2011
8637,U-328,"METHOD OF TREATING A PATIENT SUFFERING FROM ANY OF A NUMBER OF LISTED CONDITIONS INCLUDING ""A PSYCHOTIC CONDITION"" EMPLOYING AN OLANZAPINE POLYMORPH",2011
8638,U-329,"USE OF AVANDIA AS MONOTHERAPY, IN COMBINATION WITH METFORMIN, AND IN COMBINATION WITH SULFONYLUREAS TO IMPROVE GLYCEMIC CONTROL IN PATIENTS WITH TYPE 2 DIABETES MELLITUS",2011
8639,U-330,TREATMENT OF NAUSEA AND VOMITING,2011
8640,U-331,METHOD OF TREATING HYPERLIPIDEMIA WITH NICOTINIC ACID BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT,2011
8641,U-332,TREATMENT OR PREVENTION OF BRONCHOSPASM,2011
8642,U-333,METHOD OF TREATING OCULAR HYPERTENSION,2011
8643,U-334,TREATMENT OF EXCESSIVE FEMALE FACIAL HAIR,2011
8644,U-335,USE OF PRAVASTATIN SODIUM FOR SECONDARY PREVENTION OF CORONARY EVENTS IN MEN AND WOMEN WHO HAVE HAD A MYOCARDIAL INFARCTION AND HAVE NORMAL CHOLESTEROL LEVELS,2011
8645,U-336,DIAGNOSTIC RADIOIMAGING,2011
8646,U-337,USE OF CARDIOLITE/MIRALUMA KIT FOR THE PREPARATION OF TC99M SESTAMIBI,2011
8647,U-338,"METHODS FOR TREATING DISTURBANCES OF MOOD, DISTURBANCES OF APPETITE, DEPRESSED MOOD, OR CARBOHYDRATE CRAVING ALL ASSOCIATED WITH PREMENSTRUAL SYNDROME",2011
8648,U-339,PREVENTION OF CARDIO-TOXICITY CAUSED BY THE ADMINISTRATION OF DOXORUBICIN,2011
8649,U-340,THE LONG TERM TREATMENT OF GROWTH FAILURE DUE TO LACK OF ADEQUATE ENDOGENOUS GROWTH HORMONE SECRETION IN CHILDREN,2011
8650,U-341,METHOD FOR ENHANCING THE TREATMENT OF ... LATE LUTEAL PHASE DYSPHORIC DISORDER,2011
8651,U-342,METHOD FOR TREATMENT OF LATE LUTEAL PHASE DYSPHORIC DISORDER,2011
8652,U-343,"REDUCTION OF INTESTINAL GAS, CRAMPING AND ANORECTAL IRRITATION",2011
8653,U-344,METHOD FOR INHIBITING HIV INFECTION BY ADMINISTERING RITONAVIR IN COMBINATION WITH ANOTHER HIV PROTEASE INHIBITOR,2011
8654,U-345,RITONAVIR AND ANOTHER HIV PROTEASE INHIBITOR FOR CONCOMITANT ADMINISTRATION FOR THE TREATMENT OF AN HIV INFECTION,2011
8655,U-346,METHOD FOR INHIBITING CYTOCHROME P450 MONOOXYGENASE WITH RITONAVIR AND A METHOD FOR IMPROVING THE PHARMCOKINETICS OF A DRUG THAT IS MTABOLIZED BY CYTOCHROME P450 MONOOXYGENASE BY ADMIN THE DRUG AND RITONAVIR,2011
8656,U-347,METHOD OF USE IN COMBINATION WITH REVERSE TRANSCRIPTASE INHIBITORS,2011
8657,U-348,METHOD OF USE FOR INHIBITING HIV INFECTION,2011
8658,U-349,METHOD OF USE WHICH IS SUBJECT OF THE APPLICATION,2011
8659,U-350,PREPARATION OF A PHARMACEUTICAL COMPOSITION FOR CONCOMITANT ADMIN WITH A REVERSE TRANSCRIPTASE INHIBITOR,2011
8660,U-351,INHIBITING PROTEASE WITH LOPINAVIR AND INHIBITING AN HIV INFECTION WITH LOPINAVIIR,2011
8661,U-352,INHIBITING HIV INFECTION BY ADMINISTERING RITONAVIR IN COMBINATION WITH A REVERSE TRANSCRIPTASE INHIBITOR,2011
8662,U-353,PREVENTION AND TREATMENT OF OSTEOPOROSIS,2011
8663,U-354,"METHOD OF TREATING HYPERLIPIDEMIA WITH NICOTINIC ACID WITHOUT CAUSING TREATMENT-LIMITING ELEVATIONS IN URIC ACID OR GLUCOSE LEVELS OR CAUSING LIVER DAMAGE, BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT",2011
8664,U-355,METHOD OF ASSISTING PERSON TO QUIT SMOKING...TRANSDERMALLY ADMIN NICOTINE VIA..PATCH ADHERED TO SKIN AT DOSING RATE APPROX SAME AS ABSORBED FROM SMOKING,2011
8665,U-356,DELIVERING A MEDICINAL AEROSOL FORMULATION USING CFC-FREE PROPELLANT 134A.,2011
8666,U-357,USE OF THE DRUG PRODUCT IN PHOTODYNAMIC THERAPEUTIC PROTOCOLS FOR THE TREATMENT OF AGE-RELATED MACULAR DEGENERATION AND RELATED CONDITIONS INVOLVING UNWANTED NEOVASCULATURE IN THE EYE,2011
8667,U-358,"DEPRESSION, OBSESSIVE COMPULSIVE DISORDER, PANIC DISORDER AND SOCIAL ANXIETY DISORDER",2011
8668,U-359,METHOD OF USE OF VISICOL,2011
8669,U-360,METHOD OF TREATING A PATIENT SUFFERING FROM ANY OF A NUMBER OF PATHOLOGICAL PSYCHOLOGICAL CONDITIONS INCLUDING MENTAL DISORDERS EMPLOYING OLANZAPINE AS PER THE INDICATION WHICH IS THE SUBJECT MATTER OF THIS SNDA-011,2011
8670,U-361,MANAGEMENT OF ANXIETY DISORDERS AND THE SHORT-TERM RELIEF OF THE SYMPTOMS OF ANXIETY,2011
8671,U-362,USE OF APPROVED FORMULATIONS TO TREAT ALL APPROVED DISEASE INDICATIONS,2011
8672,U-363,METHOD OF TREATING A PATIENT SUFFERING FROM ANY OF A NUMBER OF PATHOLOGICAL PSYCHOLOGICAL CONDITIONS THAT RELATE TO THE USE OF A PSYCHOACTIVE SUBSTANCE EMPLOYING OLANZAPINE AS PER THE INDICATION THE SUBJECT MATTER OF SUPPLEMENT 011,2011
8673,U-364,"TREATING A PATIENT SUFFERING FROM OR SUSCEPTIBLE TO ANY NUMBER OF LISTED CONDITIONS INCLUDING PSYCHOSIS, EMPLOYING OLANZAPINE AS PER THE INDICATION WHICH IS THE SUBJECT MATTER OF THIS SNDA-011",2011
8674,U-365,"METHOD FOR THE TREATMENT OF CARDIOVASCULAR DISEASE THROUGH THE ADMINISTRATION OF A CALCIUM BLOCKING VASODILATOR IN OUR EXTENDED, CONTROLLED RELEASE FORMULATION",2011
8675,U-366,METHOD FOR THE TREATMENT OF CARDIOVASCULAR DISEASE THROUGH THE ADMINISTRATION OF A CALCIUM BLOCKING VASODILATOR IN A DELAYED RELEASE FORMULATION,2011
8676,U-367,TREATMENT OF CARDIOVASCULAR DISORDERS,2011
8677,U-368,HEARTBURN,2011
8678,U-369,METHOD OF CONTROLLING AND LOWERING INTRAOCULAR PRESSURE,2011
8679,U-370,INTRAVAGINAL TREATMENT OF VAGINAL INFECTIONS WITH BUFFERED METRONIDAZOLE COMPOSITIONS,2011
8680,U-371,"APPROVAL FOR MARKETING ONLY UNDER A SPECIAL RESTRICTION PROGRAM APPROVED BY FDA CALLED ""SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY"" (S.T.E.P.S.)",2011
8681,U-372,"METHOD FOR ADMINISTERING A BENEFICIAL DRUG TO THE GI TRACT OF AN ANIMAL, WHICH METHOD COMPRISES ADMITTING AN OSMOTIC DEVICE ORALLY INTO THE ANIMAL...",2011
8682,U-373,"GENERAL USE CLAIM SUBMITTED FOR 12 NEXIUM PATIENTS STATING ""PERTINENT TO THE CAPSULE FORMULATION FOR NEXIUM AND ITS INDICATIONS FOR THE TREATMENT OF GERD AND ERADICATION OF H.PYLORI TO REDUCE THE RISK OF DUODENAL ULCER RECURRENCE",2011
8683,U-374,"KIT ADAPTED AND DESIGNED TO PROVIDE BOTH DATA ON THE CURRENT REPRODUCTIVE STATUS OF A PATIENT AND CONTRACEPTION FOR THOSE WHO ARE NOT PREGNANT, BUT RECENTLY ENGAGED IN UNPROTECTED SEX",2011
8684,U-375,"METHOD OF USING RIBAVIRIN FOR TREATING A DISEASE RESPONSIVE TO RIBAVIRIN, E.G. HEPATITIS C",2011
8685,U-376,TREATMENT OF INFLUENZA,2011
8686,U-377,METHOD OF TREATING PT WITH CHRONIC HEPATITIS C HAVING HCV GENOTYPE 1 AND VIRAL LOAD GREATER THAN 2 MILLION COPIES/ML TO ERADICATE DETECTABLE HCV-RNA BY ADMIN COMBINATION OF RIBAVIRIN AND INTERFERON ALFA-2B FOR A LEAST 24 WEEKS,2011
8687,U-378,METHOD FOR TREATING INCONTINENCE,2011
8688,U-379,METHOD OF TREATING ONYCHROMYCOSIS,2011
8689,U-380,COMBINATIONS OF TAXOL (PACLITAXEL) AND CISPLATIN WHICH ARE SUITABLE FOR THE TREATMENT OF OVARIAN AND NON-SMALL CELL LUNG CARCINOMAS,2011
8690,U-381,TREATMENT OF HYPERPHOSPHATEMIA,2011
8691,U-382,METHOD OF STABLIZING PROSTAGLANDIN,2011
8692,U-383,METHOD FOR TREATING GLAUCOMA AND OCULAR HYPERTENSION,2011
8693,U-384,TREATMENT OF CMV RETINITIS,2011
8694,U-385,TREATMENT OF PEPTIC ULCERS,2011
8695,U-386,TREATMENT OF PATIENTS SUFFERING FROM A LATE ASTHMATIC REACTION OR LATE PHASE ASTHMA,2011
8696,U-387,TREATMENT OF PATIENTS WITH RESPIRATORY DISORDERS,2011
8697,U-388,SMOKING CESSATION AID APPLIED TO THE SKIN,2011
8698,U-389,SMOKING CESSATION AID APPLIED TO THE SKIN ON WAKING AND REMOVED PRIOR TO SLEEP AFTER ABOUT 16 HOURS,2011
8699,U-390,METHOD OF USING THE DRUG TO TREAT NEUROIMMUNOLOGIC DISEASES (INCLUDING MULTIPLE SCLEROSIS),2011
8700,U-391,USE OF CASODEX IN COMBINATION WITH LHRH AGONISTS FOR THE TREATMENT OF PROSTATE CANCER,2011
8701,U-392,TREATMENT OF PATIENTS FOR INFLAMMATION,2011
8702,U-393,"MANAGEMENT OF INCONTINENCE, MGT OF HORMONE REPLACEMENT THERAPY, TREATMENT OF INVOLUNTARY INCONTINENCE, MGT OVERACTIVE BLADDER AND INCREASING COMPLIANCE IN SUCH PT",2011
8703,U-394,METHOD OF USE OF ALPHAGAN,2011
8704,U-395,METHOD OF USE OF ALPHAGAN P,2011
8705,U-396,METHOD OF TREATING PEOPLE SUFFERING FROM DEPRESSION,2011
8706,U-397,METHOD OF TREATING PEOPLE SUFFERING FROM DEPRESSION WITHOUT AN INCREASE IN NAUSEA,2011
8707,U-398,TREATMENT OF GENERALIZED ANXIETY DISORDER,2011
8708,U-399,IN-THE-EYE USE OF CHLORINE DIOXIDE CONTAINING COMPOSITIONS,2011
8709,U-400,"USE OF RIBAVIRIN TO INCREASE TYPE 1 CYTOKINE RESPONSE AND SUPPRESS TYPE 2 CYTOKINE RESP0NSE TO LYMPHOCYTES, INCLUDING METHODS THAT TAKE ADVANTAGE OF SUCH MODULATION TO TREAT INFECTIONS AND INFESTATIONS",2011
8710,U-401,USE OF LOPINAVIR IN COMBINATION WITH REVERSE TRANSCRIPTASE INHIBITORS FOR TREATING HIV INFECTION AND IN COMBO WITH OTHER HIV PROTEASE INHIBITORS,2011
8711,U-402,TREATMENT OF ACTINIC KERATOSES,2011
8712,U-403,ANTI-ALLERGIC FOR VARIOUS ALLERGIC DISEASES,2011
8713,U-404,TREATMENT OF ALLERGIC CONJUNCTIVITIS,2011
8714,U-405,FOR WOMEN WITH SEVERE DIARRHEA-PREDOMINANT IRRITABLE BOWEL SYNDROME (IBS),2011
8715,U-406,METHOD OF USE OF ATOVAQUONE AND PROGUANIL,2011
8716,U-407,METHOD OF TREATING OTOPATHY,2011
8717,U-408,FOR INDUCING OVULATION IN CONJUNCTION WITH A GONADOTROPIN RELEASING FACTOR ANTAGONIST AND RECRUITING OOCYTES FOR IN-VITRO FERTILIZATION,2011
8718,U-409,METHOD OF TREATING INFLAMMATION USING DRUG SUBSTANCE,2011
8719,U-410,METHOD OF REDUCING AMOUNT OF RESPECTIVE ACTIVE COMPONENTS ADMINISTERED TO A DIABETIC PATIENT BY ADMINISTERING A CHEMICAL COMPOUND HAVING A PARTICULAR FORMULA (INCLUDING PIOGLITAZONE) IN COMBINATION WITH AN INSULIN SECRETION ENHANCER,2011
8720,U-411,METHOD OF REDUCING THE SIDE EFFECTS OF ACTIVE COMPONENTS ADMINISTERED TO A DIABETIC PATIENT BY ADMINISTERING A CHEMICAL COMPOUND HAVING A PARTICULAR FORMULA (WHICH INCLUDES PIOGLITAZONE) IN COMBINATION WITH AN INSULIN PREPARATION,2011
8721,U-412,TREATMENT OF TYPE 2 DIABETES,2011
8722,U-413,USE OF THE ACTIVE INGREDIENT FOR INHIBITING THE BIOSYNTHESIS OF CHOLESTEROL AND TREATMENT OF ATHEROSCLEROSIS,2011
8723,U-414,A METHOD OF TREATING GLYCOMETABOLISM DISORDERS BY ADMINISTERING AN INSULIN SENSITIVITY ENHANCER (INCLUDING PIOGLITAZONE) IN COMBINATION WITH A BIGUANIDE,2011
8724,U-415,A METHOD FOR REDUCING THE AMOUNT OF ACTIVE COMPONENTS ADMINISTERED TO A DIABETIC PATIENT BY ADMINISTERING AN INSULIN SENSITIVITY ENHANCER (INCLUDING PIOGLITAZONE) IN COMBINATION WITH A BIGUANIDE AS SAID ACTIVE COMPONENTS,2011
8725,U-416,A METHOD FOR REDUCING SIDE EFFECTS OF ACTIVE COMPONENTS ADMINISTERED TO A DIABETIC PATIENT BY ADMINISTERING AN INSULIN SENSITIVITY ENHANCER (INCLUDING PIOGLITAZONE) IN COMBINATION WITH A BIGUANIDE AS SAID ACTIVE COMPONENTS,2011
8726,U-417,COMBINATION USE OF AD-4833 WITH A BIGUANIDE,2011
8727,U-418,A METHOD OF TREATING LIPID METABOLISM DISORDERS BY ADMINISTERING A CHEMICAL COMPOUND HAVING A PARTICULAR FORMULA (WHICH INCLUDES PIOGLITAZONE) IN COMBINATION WITH AN INSULIN SECRETION ENHANCER,2011
8728,U-419,A METHOD OF TREATING LIPID METABOLISM DISORDERS BY ADMINISTERING AN INSULIN SENSITIVITY ENHANCER (INCLUDING PIOGLITAZONE) IN COMBINATION WITH A BIGUANIDE,2011
8729,U-420,METHOD OF TREATMENT OF TYPE II DIABETES,2011
8730,U-421,USE FOR SEDATION,2011
8731,U-422,METHOD OF TREATING AT LEAST ONE OF ATTENTION DEFICIT DISORDER AND ATTENTION DEFICIT HYPERACTIVITY DISORDER,2011
8732,U-423,"METHOD OF TREATING AT LEAST ONE OF ATTENTION DEFICIT DISORDER, ATTENTION DEFICIT HYPERACTIVITY DISORDER, OR AIDS RELATED DEMENTIA",2011
8733,U-424,"FOR ONCE DAILY, BOLUS ADMINISTRATION TO A PATIENT IN ORDER TO ENGENDER TREATMENT FOR A NERVOUS DISORDER FOR SUBSTANTIALLY AN ENTIRE DAY ON A CHRONIC BASIS",2011
8734,U-425,METHOD OF REDUCING SIDE EFFECTS OF ACTIVE COMPONENTS ADMIN TO A DIABETIC BY ADMIN A CHEMICAL COMPOUND HAVING FORMULA (INCL PIOGLITAZONE) IN COMBINATION WITH AN INSULIN SECRETION ENHANCER,2011
8735,U-426,PREVENTION OF PREMATURE LH SURGES IN WOMEN UNDERGOING CONTROLLED OVARIAN STIMULATION,2011
8736,U-427,METHOD OF TREATING ALLERGIC REACTIONS IN MAMMALS,2011
8737,U-428,METHOD OF TREATING ALLERGY IN A MAMMAL USING THIS ACTIVE METABOLITE,2011
8738,U-429,METHOD OF USING DESLORATADINE TO TREAT ALLERGIC RHINITIS,2011
8739,U-430,"METHOD OF TREATING A DIABETIC BY ADMINISTERING AN INSULIN SENSITIZER IN COMBINATION WITH AN INSULIN SECRETION ENHANCER, AND A DRUG PRODUCT C0MPRISING AN INSULIN SENSITIZER AND AN INSULIN SECRETION ENHANCER",2011
8740,U-431,POSTTRAUMATIC STRESS DISORDER,2011
8741,U-432,"REDUCTION OF ATHEROSCLEROTIC EVENTS (MYOCARDIAL INFARCTION, STROKE, AND VASCULAR DEATH) IN PATIENTS WITH ATHEROSCLEROSIS DOCUMENTED BY RECENT STROKE, RECENT MYOCARDIAL INFARCTION OR ESTABLISHED PERIPHERAL ARTERIAL DISEASE",2011
8742,U-433,USE OF LEVOCARITINE IN PREVENTION AND TREATMENT OF CARNITINE DEFICIENCY IN PATIENTS WITH END STAGE RENAL DISEASE WHO ARE UNDERGOING DIALYSIS,2011
8743,U-434,"CONTROLLED SYMPTOMS OF DIARRHEA, BLOATING PRESSURE AND CRAMPS, COMMONLY REFERRED TO AS GAS",2011
8744,U-435,A TITRATION DOSING REGIMEN FOR THE TREATMENT OF PAIN USING AN INITIAL DOSE OF ABOUT 25MG,2011
8745,U-436,ACUTE TREATMENT OF MIGRAINE ATTACKS WITH OR WITHOUT AURA IN ADULTS,2011
8746,U-437,METHOD OF USE EQUAL TO PROCESS OF PREPARATION,2011
8747,U-438,TREATMENT/PREVENTION OF NEURODEGENERATIVE DISEASE,2011
8748,U-439,TREATMENT OF OBESITY,2011
8749,U-440,METHOD FOR TRANSDERMAL ADMINISTRATION OF A DRUG THROUGH NON-SCROTAL SKIN USING A TRANSDERMAL DRUG DELIVERY DEVICE CONTAINING THE DRUG AND HAVING AN ADHESIVE SURFACE,2011
8750,U-441,METHOD OF TREATING MS BY ADMINISTERING COPAXONE,2011
8751,U-442,"METHOD FOR DELIVERING A DRUG TO A PATIENT IN NEED OF THE DRUG, WHILE AVOIDING THE OCCURENCE OF AN ADVERSE SIDE EFFECT KNOWN OR SUSPECTED OF BEING CAUSED BY SAID DRUG",2011
8752,U-443,"MANAGEMENT OF MODERATE TO SEVERE PAIN WHEN A CONTINUOUS, AROUND-THE-CLOCK ANALGESIC IS NEEDED FOR AN EXTENDED PERIOD OF TIME",2011
8753,U-444,TREATMENT OF MIGRAINE,2011
8754,U-445,USE AS AN ANTIMYCOTIC AGENT,2011
8755,U-446,TOPICAL TREATMENT OF OCULAR HYPERTENSION AND GLAUCOMA,2011
8756,U-447,METHOD OF TREATING HYPERLIPIDEMIA WITH NICOTINIC ACID BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT,2011
8757,U-448,"METHOD OF TREATING HYPERLIPIDEMIA WITH NICOTINIC ACID WITHOUT CAUSING TREATMENT-LIMITING ELEVATIONS IN URIC ACID OR GLUCOSE LEVELS OR CAUSING LIVER DAMAGE, BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT",2011
8758,U-449,USE IN COMBINATION WITH 5-FLUOROURACIL AND LEUCOVORIN FOR THE TREATMENT OF METASTATIC COLORECTAL CANCER WHERE THE DOSE OF LEUCOVORIN IS AT LEAST 200MG PER SQUARE METER,2011
8759,U-450,"INTERMEDIATE REL NICOTINIC ACID FORMULATIONS HAVING UNIQUE URINARY METAB PROFILES RESULTING FROM ABSORPTION PROFILES OF NICOTINIC ACID FROM THE INTERMEDIATE NICOTINIC ACID FORMULATIONS,SUITABLE FOR TX HYPERLIPIDEMIA FOLLOWING QD DOSING",2011
8760,U-451,TREATMENT OF DEPRESSION AND GENERALIZED ANXIETY DISORDER,2011
8761,U-452,USE OF LANSOPRAZOLE FOR COMBATTING DISEASES CAUSED BY THE GENUS CAMPYLOBACTER (C.PYLORI=H.PYLORI),2011
8762,U-453,TREATMENT OF PLATELET ASSOCIATED ISCHEMIC DISORDERS,2011
8763,U-454,"METHOD OF TX A PT SUSPECTED OF HAVING HEPATITIS C BY ADMIN, IN COMBINATION, A CONJUGATE COMPRISING PEG 12000 & INTERFERON ALFA-2B IN AN AMT OF FROM 0.5MCG/KG TO 2MCG/KG, ONCE WEEKLY, AND RIBAVIRIN",2011
8764,U-455,TREATMENT OF PULMONARY HYPERTENSION WITH UT-15,2011
8765,U-456,METHOD OF DECREASING THE PRODUCTION OF A-BETA USING A COMPOSITION WHICH DECREASES BLOOD CHOLESTEROL IN PATIENTS AT RISK OF OR EXHIBITING SYMPTOMS OF ALZHEIMER'S DISEASE,2011
8766,U-457,METHOD OF TREATING A VAGINAL FUNGAL INFECTION IN A FEMALE HUMAN,2011
8767,U-458,METHOD OF USE OF IMAGENT,2011
8768,U-459,TREATMENT OF DEPRESSION AND GENERALIZED ANXIETY DISORDER,2011
8769,U-460,METHOD OF TREATING PSYCHIATRIC SYMPTOMS ASSOCIATED WITH PREMENSTRUAL DISORDERS USING SERTRALINE,2011
8770,U-461,METHOD OF TREATMENT OF LATE LUTEAL PHASE DYSPHORIC DISORDER (PMDD) USING SERTRALINE,2011
8771,U-462,SIGNS AND SYMPTOMS OF OSTEOARTHRITIS AND ADULT RHEUMATOID ARTHRITIS AND TREATMENT OF PRIMARY DYSMENORRHEA,2011
8772,U-463,VENOGRAPHY,2011
8773,U-464,PERIPHERAL ARTERIOGRAPHY,2011
8774,U-465,CT IMAGING OF THE HEAD,2011
8775,U-466,TREATMENT OF IRRITABLE BOWEL SYNDROME,2011
8776,U-467,USE OF EPLERENONE IN COMBINATION WITH AN ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITOR FOR TREATING HYPERTENSION,2011
8777,U-468,METHOD OF USING FEXOFENADINE HCL IN TREATING ALLERGIC RHINITIS,2011
8778,U-469,TREATMENT OF GASTROESOPHAGEAL REFLEX DISEASE (GERD) AND ERADICATION OF H.PYLORI TO REDUCE RISK OF DUODENAL ULCER RECURRENCE,2011
8779,U-470,THERAPY IN CHRONIC HEPATITIS B VIRUS INFECTION,2011
8780,U-471,METHOD OF TREATING A PATIENT SUFFERING FROM DIABETES MELLITUS,2011
8781,U-472,TREATMENT OF ATTENTION DEFICIT HYPERACTIVITY DISORDER USING METHYLPHENIDATE BI-MODAL RELEASE PROFILE EXTENDED-RELEASE CAPSULES,2011
8782,U-473,TO REDUCE PLASMA CHOLESTEROL LEVELS IN A MAMMAL,2011
8783,U-474,TO REDUCE PLASMA CHOLESTEROL LEVELS BY ADMIN EZETIMIBE IN COMBO WITH CHOLESTEROL BIOSYNTHESIS INHIB SELECTED FROM GROUP CONSISTING OF HMG COA REDUCTASE INHIBITORS INCL SIMVASTATIN,2011
8784,U-475,TREATMENT OF CUTANEOUS MANIFESTATIONS OF CUTANEOUS T-CELL LYMPHOMA IN PATIENTS WHO ARE REFRACTORY TO AT LEAST ONE PRIOR SYSTEMIC THERAPY,2011
8785,U-476,"METHOD OF TREATING ANDROGEN RESPONSIVE/MEDIATED CONDITION IN MAMMAL BY ADMIN A SAFE, EFFECTIVE AMOUNT OF DUTASTERIDE OR PHARMACEUTICALLY ACCEPTABLE DERIVATIVE THEREOF..CONDITIONS INCLUDE BENIGN PROSTATIC HYPERTROPHY",2011
8786,U-477,METHOD OF INHIBITING 5 ALPHA TESTOSTERONE REDUCTASE ENZYME WITH DUTASTERIDE OR ITS DERIVATIVE AND TREATING ANDROGEN RESPONSIVE/MEDIATED DISEASE INCLUDING BENIGN PROSTATIC HYPERPLASIA,2011
8787,U-478,"METHOD OF TREATING HEPATITIS C VIRAL INFECTION BY CONTINUOUS PARENTERAL ADMIN INTERFERON ALPHA 2-10 MILLION IU WEEKLY, SUBCUTANEOUSLY, INJECTION OF POLYMER-INTERFERON ALPHA CONJUGATE-POLYMER IS PEG-INTERFERON IS ALPHA 2B",2011
8788,U-479,METHOD OF USING PEG-INTRON/REBETOL COMBINATION THERAPY AND INTRON/REBETOL COMBINATION THERAPY,2011
8789,U-480,CONTRAST AGENT FOR MRI,2011
8790,U-481,DISUBSTITUTED ACETYLENES BEARING HETEROAROMATIC AND HETEROBICYCLIC GROUPS HAVING RETINOID-LIKE ACTIVITY,2011
8791,U-482,METHOD OF IN VITRO FERTILIZATION THERAPY INCLUDING MEANS FOR INDUCING OVULATION....,2011
8792,U-483,METHOD FOR THE ADMINISTRATION OF DRUGS USING THAT COMPOUND,2011
8793,U-484,METHOD OF TREATING A SKIN DISEASE WITH A CORTICOSTEROID-CONTAINING PHARMACEUTICAL COMPOSITION,2011
8794,U-485,METHOD AND COMPOSITION FOR REDUCING NERVE INJURY PAIN ASSOCIATED WITH SHINGLES (HERPES ZOSTER AND POST-HERPETIC NEURALGIA),2011
8795,U-486,EXTERNAL PREPARATION FOR APPLICATION TO THE SKIN CONTAINING LIDOCAINE-DRUG RETAINING LAYER PLACED ON SUPPORT AND COMPRISES ADHESIVE GEL BASE 1-10% BY WEIGHT OF LIDOCAINE,2011
8796,U-487,METHOD AND COMPOSITION FOR REDUCING NERVE INJURY PAIN ASSOCIATED WITH SHINGLES (HERPES ZOSTER AND POST-HERPETIC NEURALGIA),2011
8797,U-488,METHOD FOR REDUCING THE PAIN ASSOCIATED WITH HERPES-ZOSTER AND POST-HERPETIC NEURALGIA,2011
8798,U-489,EXPECTORANT,2011
8799,U-490,TESTOSTERONE REPLACEMENT THERAPY IN MALES FOR CONDITIONS ASSOCIATED WITH A DEFICIENCY OR ABSENCE OF ENDOGENOUS TESTOSTERONE,2011
8800,U-491,METHOD OF DELIVERING A DRUG TO THE LUNG,2011
